施工類型,施工單位,施工路段,起日,迄日,區名,里名,經度,緯度
道路更新,新工處,承德路6段,2024-05-02 00:00:00+08,2024-10-01 23:59:59+08,北投區,建民里,121.51187371449737,25.104795795588057
道路更新,新工處,承德路7段,2024-06-01 00:00:00+08,2024-12-31 23:59:59+08,北投區,立賢里,121.50554856750729,25.115985243551123
人行道更新,新工處,士林區中正路115號人行道設置機車彎工程,2024-05-08 00:00:00+08,2024-05-17 23:59:59+08,士林區,福林里,121.52856496233892,25.095623002897767
道路更新,新工處,基隆路2段159巷,2024-05-13 00:00:00+08,2024-05-27 23:59:59+08,信義區,黎順里,121.55405540350138,25.02558395314026
道路更新,新工處,113年度中正區中華路2段(愛國西路至和平西路)路面更新工程,2024-08-01 00:00:00+08,2024-08-25 23:59:59+08,中正區,龍福里,121.5153689968937,25.03439801979549
道路更新,新工處,113年度中正區信義路2段243巷雙側溝蓋更新工程,2024-06-09 00:00:00+08,2024-06-26 23:59:59+08,中正區,三愛里,121.53108456532405,25.033806022158284
道路更新,新工處,羅斯福路5段176巷,2024-05-27 00:00:00+08,2024-06-20 23:59:59+08,文山區,萬年里,121.53858396590957,25.004381118862497
道路更新,新工處,萬盛街60巷,2024-07-01 00:00:00+08,2024-07-20 23:59:59+08,文山區,萬盛里,121.54134835320387,25.005516501374068
道路更新,新工處,113年度北投區竹子湖路4-1號公車站旁邊坡改善工程,2024-06-07 00:00:00+08,2024-08-12 23:59:59+08,北投區,湖田里,121.54447691587006,25.164042215405047
道路更新,新工處,樟新街,2024-08-01 00:00:00+08,2024-08-15 23:59:59+08,文山區,樟新里,121.55605928597531,24.976639127714076
道路更新,新工處,和平東路4段,2024-09-02 00:00:00+08,2024-09-23 23:59:59+08,文山區,博嘉里,121.5710031288311,25.004522504230412
道路更新,新工處,景福街54巷5弄及萬隆街,2024-05-27 00:00:00+08,2024-05-31 23:59:59+08,文山區,萬隆里,121.53707505999395,24.999928701450724
道路更新,新工處,羅斯福路5段176巷,2024-06-20 00:00:00+08,2024-07-10 23:59:59+08,文山區,萬年里,121.53858396590957,25.004381118862497
道路更新,新工處,南京東路5段59巷,2024-05-20 00:00:00+08,2024-06-08 23:59:59+08,松山區,東光里,121.55908744000769,25.051638042184486
人行道更新,新工處,愛國里中華路二段91號前人行道新工程,2024-06-01 00:00:00+08,2024-06-20 23:59:59+08,中正區,愛國里,121.50576903554878,25.033930016231693
道路更新,新工處,樂業街,2024-07-01 00:00:00+08,2024-07-14 23:59:59+08,大安區,芳和里,121.55155712744398,25.021306221148627
道路更新,新工處,113年度南港區新民街(三重路至興東街)路面更新工程,2024-07-01 00:00:00+08,2024-07-15 23:59:59+08,南港區,三重里,121.61386117186842,25.056101204314317
道路更新,新工處,113年度中正區博愛路(博愛路212巷至博愛路230巷)雙號側溝蓋更新工程,2024-06-15 00:00:00+08,2024-06-28 23:59:59+08,中正區,南門里,121.51054511503048,25.03448521435226
道路更新,新工處,文山隧道,2024-05-15 00:00:00+08,2024-06-16 23:59:59+08,信義區,六合里,121.57875916227788,25.01921572777109
道路更新,新工處,113年度中正區博愛路(愛國西路至博愛路230巷)路面更新工程,2024-08-01 00:00:00+08,2024-08-14 23:59:59+08,中正區,南門里,121.51045227657187,25.03372539863863
道路更新,新工處,內湖區內湖路2段103巷,2024-07-01 00:00:00+08,2024-07-14 23:59:59+08,內湖區,湖濱里,121.58114410820951,25.0820710405165
道路更新,新工處,113年度士林區中山北路7段232巷（中山北路7段至中山北路7段232巷20弄）雙側溝蓋更新工程,2024-06-02 00:00:00+08,2024-06-19 23:59:59+08,士林區,天母里,121.53336526550312,25.127697156981224
道路更新,新工處,林森北路138巷,2024-04-30 00:00:00+08,2024-12-31 23:59:59+08,中山區,正得里,121.52509655621135,25.051434660718932
道路更新,新工處,新生北路3段11巷,2024-04-30 00:00:00+08,2024-12-31 23:59:59+08,中山區,新福里,121.52795274347761,25.063523719443225
道路更新,新工處,建國北路3段113巷31弄,2024-04-30 00:00:00+08,2024-12-31 23:59:59+08,中山區,行孝里,121.53560382306247,25.067677107137214
道路更新,新工處,南京東路3段223巷西側,2024-04-30 00:00:00+08,2024-12-31 23:59:59+08,中山區,復華里,121.5438373951048,25.05199402188891
道路更新,新工處,寶清街,2024-08-01 00:00:00+08,2024-08-31 23:59:59+08,松山區,安平里,121.56819285154181,25.051833233760604
道路更新,新工處,113年度內湖區東湖路119巷彩色壓花瀝青路面更新工程,2024-05-02 00:00:00+08,2024-05-26 23:59:59+08,內湖區,東湖里,121.61635582402671,25.068306018646012
道路更新,新工處,113年度內湖區金湖路363巷(67弄至金湖路)路面更新工程,2024-05-10 00:00:00+08,2024-05-27 23:59:59+08,內湖區,金湖里,121.60040957048942,25.073203052735455
道路更新,新工處,武成街80巷,2024-02-01 00:00:00+08,2025-03-31 23:59:59+08,萬華區,榮德里,121.49455538883933,25.019370860649072
道路更新,新工處,113年度北投區大度路與立德路口中央分隔島增設迴轉專用車道工程,2024-05-29 00:00:00+08,2024-07-19 23:59:59+08,北投區,關渡里,121.47143273682866,25.122796797716433
道路更新,新工處,113年度北投區大度路與立德路口路面更新工程,2024-05-29 00:00:00+08,2024-06-02 23:59:59+08,北投區,關渡里,121.47143273682866,25.122796797716433
道路更新,新工處,113年度士林區中正路(690號至環河北路)路面更新工程,2024-05-26 00:00:00+08,2024-06-08 23:59:59+08,士林區,社新里,121.50643003243323,25.086185985750603
道路更新,新工處,承德路4段77巷,2024-04-01 00:00:00+08,2024-04-30 23:59:59+08,士林區,承德里,121.52324859641635,25.082095091650206
道路更新,新工處,雨聲街42巷,2024-04-01 00:00:00+08,2024-04-30 23:59:59+08,士林區,岩山里,121.5336387035743,25.102170074345555
道路更新,新工處,中山北路6段754巷,2024-04-01 00:00:00+08,2024-04-30 23:59:59+08,士林區,天祿里,121.52823126516077,25.11577115080517
道路更新,新工處,景華街52巷,2024-06-03 00:00:00+08,2024-06-20 23:59:59+08,文山區,景華里,121.54375547538983,24.995018126192715
道路更新,新工處,木柵路1段191巷,2024-06-03 00:00:00+08,2024-06-16 23:59:59+08,文山區,華興里,121.55136695774226,24.987766262927806
道路更新,新工處,113年度士林區基河路(劍潭路至承德路4段33巷)路面更新工程,2024-08-15 00:00:00+08,2024-08-30 23:59:59+08,士林區,明勝里,121.52252368318098,25.08068229307486
道路更新,新工處,民權東路4段,2024-04-15 00:00:00+08,2024-05-31 23:59:59+08,松山區,東榮里,121.55689228438861,25.06198874726527
道路更新,新工處,113年度士林區中山北路7段(天母圓環至中山北路7段232巷)路面更新工程,2024-08-12 00:00:00+08,2024-09-02 23:59:59+08,士林區,天母里,121.53336526550312,25.127697156981224
道路更新,新工處,113年度中正區杭州南路2段(信義路2段至羅斯福路2段)路面及附屬設施更新工程,2024-08-01 00:00:00+08,2024-10-14 23:59:59+08,中正區,南福里,121.5204075265305,25.029435011106287
道路更新,新工處,113年度萬華區西園路1、2段(和平西路3段至環河南路3段)路面及附屬設施更新工程,2024-08-01 00:00:00+08,2024-11-11 23:59:59+08,萬華區,和德里,121.48967402125226,25.027357011580534
人行道更新,新工處,士林區泰北高中公車站周邊人行道更新工程,2024-07-01 00:00:00+08,2024-07-25 23:59:59+08,士林區,福德里,121.5198273,25.0928568
道路更新,新工處,內湖路二段442號,2023-10-18 00:00:00+08,2024-06-03 23:59:59+08,內湖區,內湖里,121.59234998821859,25.083489988503743
道路更新,新工處,萬芳路,2024-07-01 00:00:00+08,2024-07-28 23:59:59+08,文山區,萬芳里,121.5707332624512,24.99819777791471
